name,pub_time,con_finish_time,click_num,dock_enter_num,func_use,main_indice,type
重点实验室基金-6142A0418KF03-全光纤柱矢量超短脉冲激光产生及传输特性研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594992.html,2018-11-16,2018-11-28,157,,"研究要求：建立全光纤柱矢量超短脉冲激光产生和传输特性的理论分析模型并分析其传输特性；研究产生单一柱矢量模式的设计方法，研究金属包层光纤滤波特性，开展实现器件材料和结构参数的设计；开展不同锁模方式下，单一模式柱矢量超短脉冲的输出特性的实验研究。      本项目采取线下对接报名方式，报名联系人:毛英,联系电话:0816-2496375。申请截止日期：2018年11月28日。",,all
重点实验室基金-61422091804-天基高能光纤激光器中脉冲传输建模技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594991.html,2018-11-16,2018-11-22,208,,"面向天基激光系统中高功率脉冲光纤激光器的设计需求，开展针对光纤中脉冲传输问题的研究，基于光纤中的色散和非线性效应，建立光纤中脉冲传输方程，即利用广义非线性薛定谔方程，研究仿真光纤中传输的脉冲光的光谱和时域特性。本项目采取线下对接报名方式，报名联系人:宋云波,联系电话:13001039630。",,all
重点实验室基金-61429110301-互穿网络C/C改性铝基复合材料高频烧蚀特性,http://www.weain.mil.cn/cgxq/yy/yjjsl/594990.html,2018-11-16,2018-11-26,186,,"研究内容：1.建立燃气短时、高频、长周期加载测试平台；2.研究复合材料在超高温燃气加载环境中的烧蚀失效机理；3.优化复合材料成分、组织、结构。
技术指标：燃气加载测试条件：小于1s、大于10Hz、累计周次大于1万次。
研究周期：两年。
本项目采取线下对接报名方式，报名联系人：董宁，联系电话：18602908521。",,all
重点实验室基金-614290802021805-离子注入轴承钢均匀性及微观结构影响机制研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594989.html,2018-11-16,2018-11-30,215,,"主要指标：获得离子注入参数对轴承钢微观结构和宏观性能的影响机制（包括合金强化、应力和缺陷强化、非晶强化）；轴承钢的耐磨性较未处理零件提高1倍以上。
研究内容：1.轴承钢的N、C离子注入均匀性研究（包括利用高电荷态离子注入提高扩散能力）；2.轴承钢的金属元素注入均匀性研究（包括不同金属离子注入提高性能的对应关系）。
研究周期：2年。
承研单位资质要求：具有离子注入研究经验及相关检测分析能力。
本项目采取线下对接报名方式，报名联系人：马贺，联系电话： 15117928564。",,all
重点实验室基金- 61425040205-高光谱图像像元级海面目标检测识别技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594988.html,2018-11-16,2018-11-28,273,,"研究目标：面向海面舰船或落水人员的远距探测问题，研究目标成像光谱特性和高光谱图像识别技术，克服海面复杂的光学折反射等场景干扰，突破像元级海面目标信号处理技术，准确识别和区分舰船、落水人员和海岛、大型鱼类、海面浮游藻类、低空飞行物等，并提出有效的光谱波段选择方法和依据，完成舰船或落水人员探测最优光谱波段选择。
研究内容：1、高光谱图像预处理技术；2、高光谱图像解混技术；3、高光谱目标识别技术；4、目标探测最优波段选择技术；
主要指标：1、实现对单一波段目标最高信噪比≥2、成像面积≤9的海面舰船或落水人员的识别，识别率≥90%，虚警率≤1%；2、分别提出舰船或落水人员探测最佳的1、2、3个波段，并给出选择依据。
进度要求：2019年～2020年
成果形式：算法报告、试验报告、仿真程序及源代码等
本项目采取线下对接报名方式，报名联系人:张凤霞,联系电话:0379-63323175/13526927685。",,all
重点实验室基金-6142105030605-基于稀疏空间采样的阵列天线主波束指向估计,http://www.weain.mil.cn/cgxq/yy/yjjsl/594987.html,2018-11-16,2019-01-09,225,,"针对阵列形式的天线方向图，研究无规律（或变周期）扫描天线主瓣位置（角度）的估计方法。突破基于天线主/旁瓣位置的稀疏采样的天线波束实时估计技术，建立天线方向图模型，完成仿真验证。
本项目采取线下
对接报名方式，
报名联系人：牟皓，联系电话：15828336850",,all
重点实验室基金-61427020502-考虑过渡的发动机转子件寿命预测,http://www.weain.mil.cn/cgxq/yy/yjjsl/594963.html,2018-11-16,2018-11-28,119,,航空发动机在过渡过程中故障高发，严重影响发动机安全性。考虑过渡过程的影响，准确预测转子件寿命，是航空发动机寿命管理中的关键问题。针对这一问题，研究过渡过程下离心载荷与热载荷的耦合作用机制，揭示过渡过程应力尤其是热应力的演化规律；探索过渡过程耦合应力对疲劳损伤的影响机理，建立适用于航空发动机过渡过程复杂载荷作用下的寿命预测模型，并经仿真验证；研究过渡过程热应力演化对寿命的影响机理，提出考虑瞬变热载荷的寿命判定准则，探索基于热应力控制的转子件寿命管理方法。研究周期：2年。承研单位要求：1、具备航空发动机转子件热-结构耦合研究经历；2、具有航空发动机转子件寿命预测与管理经验；3、具备航空发动机转子件过渡过程载荷（如温度和应力）的分析工具与能力。本项目采取线下对接报名方式，联系人：李果，联系电话：13810334203,,all
重点实验室基金-61427010102192701001-纳米含能材料对固体推进剂燃烧机理影响研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594962.html,2018-11-16,2018-11-24,175,,"主要技术指标：固体推进剂比冲＞250s，燃速压强指数＜0.35；研究进度：201901-202011；本项目采取线下对接报名方式，报名联系人:魏祥庚,联系电话:13572495641。",,all
重点实验室基金-61424020109-基于方向图分集的新体制相控阵技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594961.html,2018-11-16,2018-12-01,148,,"针对低成本、高效能的应用需求，开展基于阵元方向图分集和阵列方向图分集的新体制相控阵的理论与技术研究，完成实验样机研制及原理验证。预算经费20万元。本项目采取线下对接报名方式，报名联系人：张金平,联系电话：15951936067",,all
重点实验室基金-61422050404-与电磁场生物学效应有关的重要作用因子,http://www.weain.mil.cn/cgxq/yy/yjjsl/594960.html,2018-11-16,2018-11-30,132,,"寻找能在个体、器官、细胞和分子水平响应各类型电磁场作用的关键生物大分子，并深入开展功能与作用机制研究。开发电磁场生物效应研究的新技术和新方法。利用生物信息学、人工智能、大数据处理技术等研究并建立电磁场辐照过程生物调控的大数据计算分析方法与平台，为电磁场辐照生物效应提供评价依据（或安全预警体系），并探索强磁场环境下的防护标准的建立。
主要指标：
确立１种以上电磁场作用细胞，与所用电磁场作用有密切关联的基因位点/关键蛋白并阐明其作用机理；提出１种以上相关强电磁场生物效应研究的新方法并经过技术并验证，申请发明专利２项以上；建立有效的电磁场辐照生物及调控的数据计算方法或分析平台，相关算法申请１～２项软件著作权。
本项目采取线下对接报名方式，报名联系人:王平平,联系电话:18630175878。",,all
重点实验室基金-6142A050303-高储氢体系材料设计及特性研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594959.html,2018-11-16,2018-11-30,193,,"开展高储氢材料体系的可逆储氢特性研究；开展二维材料对高储氢材料体系的调控研究。提交相关研究结果总结报告。本项目采取线下对接报名方式，报名联系人：曹老师,联系电话：13521249768",,all
重点实验室基金-61422100311-大型空间柔性机器人动力学建模、控制及仿真技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594958.html,2018-11-16,2018-11-25,259,,"研究内容：大型柔性空间机器人由于存在臂杆弹性变形和振动，因此操纵控制难度远大于刚性空间机器人。为进一步提高柔性空间机器人的操纵精度和稳定性，需要建立其精细的动力学仿真模型，并对系统动力学特性进行精准分析，为后续的控制设计提供模型保障。项目研究成果能够支撑大型空间柔性机器人的技术开发。内容包括：
1、高精度大型柔性空间机器人动力学建模方法；
2、柔性空间机器人关节摩擦建模及影响分析；
3、高鲁棒性的空间机器人本体姿态稳定控制方法；
4、高鲁棒性的柔性空间机器人柔性臂杆振动控制方法。
研究指标：空间机械臂自由度>=6；动力学部分解算具备实时解算能力；                                               本项目采取线下对接报名方式，报名联系人:王明明,联系电话:15771703071。",,all
重点实验室基金-61420010101-超低频微弱磁场自偏置高精度测量技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594957.html,2018-11-16,2018-11-25,101,,"研究基于磁电耦合效应的超低频微弱磁场传感器，突破自偏置磁电复合结构优化设计、微弱磁信号拾取和放大等关键技术，实现DC～10Hz微弱磁场精确测量，测量噪音水平100 pT⁄√Hz，最低检出限优于1 nT。
研究周期为2年。本项目采取线下对接报名方式，报名联系人:王玲,联系电话:0532-86888004。",,all
重点实验室基金-61422020501-激光冲击后梯度结构跨尺度力学研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594956.html,2018-11-16,2018-11-30,194,,"开展压气机叶片外物打伤、涡轮叶片榫头疲劳断裂失效机理研究，揭示激光冲击提高压气机叶片抗外物损伤和涡轮叶片榫头抗微动疲劳作用机理；开展镍基高温合金长期服役条件下性能衰退机制及性能恢复热处理研究，探索激光冲击强化提高老化叶片性能可行性和机制。本项目采取线下对接报名方式，报名联系人:周留成,联系电话:15319996476。",,all
重点实验室基金-61420030402-装备减振降噪新理论新方法,http://www.weain.mil.cn/cgxq/yy/yjjsl/594955.html,2018-11-16,2018-11-30,290,,"提出减振降噪新理论、新方法，在低频范围内控制效果明显，并开展实验验证与评估。本项目采取线下对接报名方式，报名联系人:周燕辉,联系电话:0731-87005507。",,all
重点实验室基金-61422070103-用于铷原子频标的原子滤光器技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594954.html,2018-11-16,2018-12-22,77,,"以铷原子为工作原子，研制基于法拉第反常色散的原子滤光器，开展原子滤光器性能与参数优化研究。项目研究周期2019.1-2020.12。经费体量30万。本项目采取线下对接报名方式，报名联系人:韦波,联系电话:0931-4585162-63。",,all
重点实验室基金-61424020407-低频宽带智能吸透一体天线罩结构研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594953.html,2018-11-16,2018-12-01,155,,"针对低频雷达探测威胁，开展低频宽带智能吸透一体天线罩结构研究，通过研究并设计宽带、小型化、低剖面吸透一体化的单元结构，掌握透波窗口可切换、可调频率的智能调控关键技术，提升现有武器装备的隐身性能。研制实验室样件验证理论和方法，与传统方法相比，样件RCS优于10dB。预算经费20万元。本项目采取线下对接报名方式，报名联系人：姜文,联系电话：13992829829",,all
重点实验室基金-61425050304-面向先进飞机的自主智能处理技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594952.html,2018-11-16,2018-11-30,142,,建立传感器探测误差模型和综合效能函数，研究面向多任务需求的机载多传感器协同探测与对抗管理技术，建立基于滚动时间窗口的自适应动态协同任务分配机制与算法，并在此基础上构建机载多传感器资源时空调度计划，使飞机在快速反应能力、任务完成率与生存率等各方面达到整体性能最优。研制周期2年。承研单位必须具有多年传感器管理方面的研究积累。本项目采取线下对接报名方式，报名联系人：牟之英，联系电话：021-33296637，17721141761,,all
重点实验室基金-61422100311 考虑运动学与动力学特性的空间机械臂任务执行策略优化设计方法研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594951.html,2018-11-16,2018-11-25,141,,"分析空间机械臂运动学、动力学特性及任务执行能力，优化设计空间机械臂的任务执行策略，全面提升空间机械臂任务执行过程中的运动学及动力学性能。主要研究：
1）空间冗余度机械臂任务驱动的运动学和动力学建模方法研究；
2）空间冗余度机械臂任务动态工作空间分析方法研究；
3）面向运动灵巧性和考虑关节力矩分配的空间机械臂任务执行策略优化设计。
技术指标：面向运动灵巧性的空间机械臂任务执行策略能使空间机械臂运动学可操作度提升20%以上；考虑关节力矩优化分配的空间机械臂任务执行策略能使关节峰值力矩下降20%以上。                                            成果形式：原型软件，研究报告，学术论文。
研究周期：2年
承研单位资质：无要求。
本项目采取线下对接报名方式，报名联系人:刘传凯,联系电话:15901536652。",,all
重点实验室基金-61422050101-目标静电场的非接触式快速测试方法与技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594950.html,2018-11-16,2018-11-30,95,,"针对目标静电场非接触式测试响应慢、灵敏度低等技术难题，提出新型非接触式目标静电场快速测试方法，提高静电测试传感器的可靠性和测试动态性能。
研究内容：
（1）研究基于电调制的新型非接触式静电场测试技术
（2）研究静电测试传感器标定方法
主要技术指标：
（1）测试带宽不小于3kHz；
（2）测试灵敏度优于5V/m；
（3）动态范围：≥40dB。
本项目采取线下对接报名方式，报名联系人:王平平,联系电话:18630175878。",,all
重点实验室基金-6142A050102-材料冲击响应的RKPM方法数值模拟研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594949.html,2018-11-16,2018-11-30,93,,"针对裂纹演化和物质分离等重要过程进行RKPM算法研究，提出高效稳定的方法。提供改进的RKPM方法程序模块。本
项目采取线下对接报名方式，报名联系人：曹老师,联系电话：13521249768",,all
重点实验室基金-61429110201-超高温陶瓷基复合材料的低温致密化,http://www.weain.mil.cn/cgxq/yy/yjjsl/594948.html,2018-11-16,2018-11-26,191,,"研究内容：1. 设计低温放热烧结的反应烧结材料体系；2. 研究陶瓷浆料在纤维预制体中高效担载的工艺路线。3. 研究陶瓷基复合材料的微观和宏观力学性能和物理性能。
技术指标：在热压烧结温度<1600℃，获得致密度>90%，超高温陶瓷组元含量达到60wt%的复合材料。
研究周期：两年。
本项目采取线下对接报名方式，报名联系人：董宁，联系电话：18602908521。",,all
重点实验室基金-6142A0418KF02-超高应变率载荷条件下材料微介观动态响应特性研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594947.html,2018-11-16,2018-11-28,75,,"研究要求：针对强激光驱动的超高应变率加载条件下材料微介观动态响应特性，包括结构相变，强度等微介观物理解读等难点问题进行基础探索，开展超短脉冲激光加载金属材料微观响应诊断，结合大规模分子动力学模拟，联合晶体学分析和统计物理方法，对材料动态响应特性进行研究。      本项目采取线下对接报名方式，报名联系人:毛英,联系电话:0816-2496375。申请截止日期：2018年11月28日。",,all
重点实验室基金-61421100205面向新型科学工程计算的并行算法与应用技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594946.html,2018-11-16,2018-12-01,117,,"面向百亿亿次混合架构的下一代天河并行系统，拟开展超大规模地球构造模型建立的应用研究。设计MPI+OPENMP混合并行算法和动态负载平衡关键算法，解决超大规模并行计算的瓶颈问题，实现百万核时并行效率达到30%以上，可以扩展到E级全系统。拟实现青藏高原隆升机制的动力学演化过程的关键物理问题研究，真实再现青藏高原在不同阶段下的动力学演化过程，为研究青藏高原的隆升机制提供很好的地球物理证据。成果形式：论文、模型、数据集与代码。资助金额：25万元。本项目采取线下对接报名方式，报名联系人：刘老师,联系电话：13786167522。",,all
重点实验室基金-61422110303-火星进入飞行大气环境参数辨识技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594945.html,2018-11-16,2018-11-27,80,,"主要指标：
探索升力体复杂气动布局在CO2环境中，完成FADS的模型构建与修正方法研究，重点关注边界层内外反演方法，解决高速进入过程火星大气环境参数辨识问题；解决长时高速飞行FADS模型的在线修正与参数辨识问题。
该项目研究周期两年，第一年完成火星大气环境参数辨识模型构建，第二年完成高速飞行FADS模型的在线修正与参数辨识研究。
本项目采取线下对接报名方式，报名联系人:齐征,联系电话:010-68199540/13810838185",,all
重点实验室基金- 61422220704-生物质固废生物处理与循环利用技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594944.html,2018-11-16,2018-11-22,143,,"重点开展固废资源化利用、废水净化等关键技术研究。研究周期2年，国/军内科研单位均可申报。本项目采取线下对接报名方式，报名联系人:展文豪,联系电话:13381198096。",,all
重点实验室基金-61422220110-特因环境下操作者认知能力对任务绩效的影响及其机理研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594943.html,2018-11-16,2018-11-22,98,,"针对特因环境下的典型作业任务，开展认知任务分析和实验研究，探讨认知能力影响任务绩效的作用途径和机理。研究周期2年，国/军内科研单位均可申报。本项目采取线下对接报名方式，报名联系人:田雨,联系电话:18618322786。",,all
重点实验室基金-61427020304-主预燃级耦合关系对中心分级旋流燃烧贫熄边界的影响及优化方法研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594942.html,2018-11-16,2018-11-28,100,,针对航发中心分级燃烧室单独预燃级工作模式下主燃级旋流空气对预燃级旋流火焰的淬熄问题，开展旋流耦合关系对贫熄边界的影响及优化方法研究。探索不同主、预燃级旋流耦合关系下贫熄过程的火焰瞬态变化和动态释热特征，分析其相干程度对贫熄边界的影响规律和机制，提出贫熄边界拓宽方法。开展主、预燃级耦合关系分析及关键影响参数分解研究，重点关注其关键参数对下游旋流强度、旋流回流量及旋流融合过程的影响。开展常压下燃烧室贫熄过程火焰释热特征和OH自由基演化过程实验研究，分析不同耦合关系的主、预燃级组合对火焰贫熄过程的影响并总结变化规律。提出中心分级燃烧室贫熄边界拓宽方法并进行实验验证，与基准相比贫油熄火边界拓宽20%以上。研究周期：2年。本项目采取线下对接报名方式，联系人：张弛，联系电话：13581749717,,all
重点实验室基金-61428020508- 低功耗复合阳极SOI-LIGBT等效模型与新结构研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594941.html,2018-11-16,2018-11-26,73,,针对单片功率集成芯片的核心元器件SOI LIGBT，突破LIGBT关断速度、降低器件导通状态和开关状态功率损耗的有效理论和方法，研究新型高速、低功耗、易集成的SOI LIGBT器件，建立其等效模型以指导该类器件的设计，并研制出新型高速高能效的SOI LIGBT。研究进度两年。本项目采取线下对接报名方式，报名联系人：蒲阳，联系电话18680707227。,,all
重点实验室基金-6142A0418KF06 高强度低渗透聚合薄膜制备与表面改性研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594940.html,2018-11-16,2018-11-28,127,,"研究要求：针对高能量密度物理实验靶用特种聚合物薄膜匮乏的问题，开展分子设计与模拟计算，开发一类新型聚合物材料，探讨其溶解特性与成膜性能，进一步通过表面改性等途径，制备出具有较高强度和较低渗透性能的聚合物薄膜。   本项目采取线下对接报名方式，报名联系人:毛英,联系电话:0816-2496375。申请截止日期：2018年11月28日。",,all
重点实验室基金-61422070203-空间辐射环境下功能结构薄膜材料性能退化规律研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594939.html,2018-11-16,2018-12-22,142,,"针对未来航天器对预应力功能形面薄膜结构的应用需求，研究空间辐射环境、预应力耦合作用下新型聚合物薄膜材料性能退化规律、损伤机理，以及空间辐射环境对预应力功能形面结构性能影响评估方法。项目研究周期2019.1-2020.12。经费体量30万。本项目采取线下对接报名方式，报名联系人:韦波,联系电话:0931-4585162-63。",,all
重点实验室基金-6142105030508-基于FPGA的深度神经网络加速器设计技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594938.html,2018-11-16,2019-01-09,192,,"研究需要充分利用逻辑资源和内存带宽，挖掘加速器设计的优化空间，获得最佳性能和最低资源需求的解决方案。在此基础上，利用FPGA板卡搭建实现装置实现一个深度学习加速器，给出其实际性能分析。
本项目采取线下
对接报名方式，
报名联系人：张炜，联系电话：18011419837",,all
重点实验室基金-6142105030506-基于延迟网络的低噪声可调谐宽带滤波器技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594937.html,2018-11-16,2019-01-09,135,,"针对复杂电磁环境条件下射频接收机前端对捷变宽带强干扰信号的抑制需求，开展基于高阶延迟网络的低噪声可调宽带新型模拟滤波器技术研究。
本项目采取线下
对接报名方式，
报名联系人：江帆，联系电话：18380150129",,all
重点实验室基金-61429110103-先驱体转化制备SiC/SiC复合材料界面层探索,http://www.weain.mil.cn/cgxq/yy/yjjsl/594936.html,2018-11-16,2018-11-26,162,,"研究内容：1.采用聚合物转化法制备出SiC/SiC复合材料界面相；2. 研究SiC/SiC复合材料的热力学结构演变；3.研究SiC/SiC复合材料的力学性能与失效机理。
技术指标：复合材料基体开裂应力大于80MPa，断裂韧性大于16MPa.m1/2。
研究周期：两年。
本项目采取线下对接报名方式，报名联系人：董宁，联系电话：18602908521。",,all
重点实验室基金-6142105030606-基于液晶基板的太赫兹反射式相控阵天线技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594935.html,2018-11-16,2019-01-09,182,,"开展基于液晶的太赫兹电控移相器及相控反射天线技术理论、设计、工艺及测试等关键技术的研究，包括：反射移相单元的设计和仿真；基于液晶移相单元的相控反射阵列天线设计与辐射特性分析；器件的MEMS加工；搭建实验平台开展测试，验证相关理论方法的有效性。
本项目采取线下
对接报名方式，
报名联系人：李世文，联系电话：18080186890",,all
重点实验室基金-61422070205-新型太阳电池空间辐射效应研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594934.html,2018-11-16,2018-12-22,153,,"针对新型太阳电池空间应用需求，研究空间辐射与正型反型等多种结构的杂化太阳电池能带结构、界面特性的作用机理，以及辐射对太阳电池性能退化规律。项目研究周期2019.1-2020.12。经费体量30万。本项目采取线下对接报名方式，报名联系人:韦波,联系电话:0931-4585162-63。",,all
重点实验室基金-61422050305-基于测控链路感知的反无人机技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594933.html,2018-11-16,2018-11-30,160,,"通过准确感知无人机测控链路的主要参数，为灵巧、高效地干扰、诱骗无人机提供支撑，将无人机拒止于防区之外，达到反无人机的效果。
研究内容：基于测控链路感知的反无人机机理与方法、基于测控链路感知的反无人机效果评价方法研究。
主要技术指标：
（1）感知时间：≤1s(从获得测控链路射频数据后算起)；
（2）感知正确率：≥90%；
（3）感知虚警率：≤5%；
（4）感知参数的完备性：能有效支撑反无人机需要。
本项目采取线下对接报名方式，报名联系人:王平平,联系电话:18630175878。",,all
重点实验室基金-61424040309-高功率激光键合晶体特性研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594932.html,2018-11-16,2018-12-15,137,,"主要指标：键合面散射率测试精度0.01%；键合面空间分辨率20μm;晶体厚度测试范围100μm-5cm，精度<0.01H；晶体折射率测试范围1.33-3.0，分辨率0.01%。
研究进度：2019年，开展基于白光干涉技术的高能激光晶体键合面散射和晶体吸收的分布式测量，搭建激光晶体键合面测试平台，完成各项测试指标。2020年，完成不少于5批次激光晶体样品的高精度测试，实现高功率激光晶体键合面重构，建立一套键合面定量评价方法。
承研单位资质要求：具备相关研究能力的单位。
本项目采取线下对接报名方式，联系人:王钢,联系电话:010-64303223",,all
重点实验室基金- 61422220605-食物、水、气再生系统整合技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594931.html,2018-11-16,2018-11-22,78,,"研究食物、水、气再生技术，发展新一代物化再生和受控生态环境控制和生命保障技术。研究周期2年，国/军内科研单位均可申报。本项目采取线下对接报名方式，报名联系人:吉定豪,联系电话:18910600381。",,all
重点实验室基金-61428020506-低栅氧化层电场的高压低阻SiC MOSFET功率器件研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594930.html,2018-11-16,2018-11-26,131,,开展槽栅高压低阻SiC MOSFET功率器件研究，重点研究器件反向阻断时栅氧化层高电场失效问题，获得突破高斯关系限制的栅氧电场模型。实现2500V以上耐压、1.5mΩ.cm2以下比导通电阻的高优值SiC功率MOSFET，且栅氧最高电场在击穿时保持低于5MV/cm，为高可靠SiC功率电子、基于SiC功率器件的高效高功率开关电源提供理论与技术支撑。研究进度两年。本项目采取线下对接报名方式，报名联系人：蒲阳，联系电话18680707227。,,all
重点实验室基金-6142A050103-可压缩多相流数值模拟方法研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594929.html,2018-11-16,2018-11-30,175,,"开展适用于多相流的压力-速度耦合计算方法研究；开展高密度比多介质实际状态方程混合的稳定计算方法和跨时间尺度的高效时间更新方法研究。提交混合状态求解技术和时间更新算法技术和软件模块。本
项目采取线下对接报名方式，报名联系人：曹老师,联系电话：13521249768",,all
重点实验室基金-6142A0418KF01-钼Kα线高分辨单能成像技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594928.html,2018-11-16,2018-11-28,66,,"研究要求：面向ICF压缩物理实验稠密等离子体面密度诊断应用需求，开展钼Kα线高分辨单能成像技术研究，发展硬X射线高分辨单能成像技术。针对高能皮秒激光产生的钼Kα线开展成像晶体设计和研制，解决相关关键技术，实现单发次成像，空间分辨优于5微米。           本项目采取线下对接报名方式，报名联系人:毛英,联系电话:0816-2496375。申请截止日期：2018年11月28日。",,all
重点实验室基金-61422020302-高总焓来流下煤油裂解气爆震燃烧技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594927.html,2018-11-16,2018-11-30,101,,针对液态煤油/空气连续爆震直接起爆难度大、燃烧室结构设计复杂等问题，开展煤油裂解气/空气连续爆震燃烧组织技术研究。选取典型裂解气组份，提出增强裂解气/空气掺混效果的几何构型；归纳影响裂解气/空气快速掺混的主要参数及其影响规律；在此基础上，研究不同裂解气组份、不同掺混结构、不同工作参数下，连续爆震燃烧的工作模态及爆震参数特征，对比分析不同参数的影响规律和影响边界；对爆震燃烧方案进行优化，并通过实验进行验证。报名联系人：金迪，联系电话：13991117151,,all
重点实验室基金-61424020205-隐身宽带天线罩测试关键技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594926.html,2018-11-16,2018-12-01,176,,"针对具备隐身功能并用于宽带雷达的天线罩电性能测试效率低、精度差的问题，开展天线罩瞄准误差、传输效率等测试理论和方法研究，提出有效的提升测试效率和精度的方法，完成关键技术攻关并通过仿真和实验验证方法的有效性。预算经费20万元。本项目采取线下对接报名方式，报名联系人：姜文,联系电话：13992829829",,all
重点实验室基金-61421100402-新型分布式网络计算模型与支撑机制,http://www.weain.mil.cn/cgxq/yy/yjjsl/594925.html,2018-11-16,2018-12-01,135,,"针对无人系统大规模群体态势感知与高效协同的需求，研究基于共识机制的多节点环境数据共享和态势融合方法，通过形成局部/全局共同态势，为群体协同奠定基础；以“无人系统群体+边缘服务器”架构为基础，研究资源竞争条件下的计算卸载策略，研究深度学习模型在端和边缘之间自适应执行的方法，提升群体感知/决策过程中的计算效率。在超过10个参与结点、以协同搜索为背景的软件模拟场景中验证所提升的群体能力。成果形式：论文、模型、数据集与代码。资助金额：25万元。本项目采取线下对接报名方式，报名联系人:丁老师,联系电话:18670389632。",,all
重点实验室基金-61422020302-宽参数范围高压高重频脉冲电源技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594924.html,2018-11-16,2018-11-30,194,,研制高压高重频的脉冲电源。研究电源的拓扑结构、热管理、电磁兼容等技术，提出提高效率、降低功耗、减小体积重量的技术途径，研制高压高重频脉冲电源，连接典型负载时，重频20kHz时的最大输出电压不小于20kV，单脉冲能量不小于30mJ；在超声速风洞中进行实验，研究高压高重频脉冲电源的参数对流动控制效果的影响；在冰风洞中进行实验，验证高压高重频脉冲电源的防除冰能力，并获得参数影响规律；在旋流燃烧室中进行实验，验证电源的点火助燃能力，并获得参数影响规律。报名联系人：宋慧敏，联系电话：13700275052,,all
重点实验室基金-61422160106-大动态范围接收机技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594923.html,2018-11-16,2018-11-22,141,,"针对频谱范围宽、信号幅度变化范围大的电磁脉冲信号开展多通道射频信号转换技术、大动态范围信号控制技术等研究，研制大动态范围接收机样机。主要指标：（1）频段：0.38GHz～18GHz；（2）脉冲周期：30ns～2000us；（3）场强测试：5V/m～100kV/m；（4）接收机动态范围：86dB；（5）方位测向精度：优于10°(r.m.s)。成果形式：接收机样机；接收机方案。研究进度：3年。本项目采取线下对接报名方式，报名联系人:张崎,联系电话:13871092261。预算金额：80万。",,all
重点实验室基金-61429110502-C/SiC复合材料结构氧化行为的数值分析,http://www.weain.mil.cn/cgxq/yy/yjjsl/594922.html,2018-11-16,2018-11-26,147,,"研究内容：1.基于C/SiC复合材料氧化过程的试验数据和失效机理，提出氧化过程对材料宏观力学性能影响的数学模型；2.建立同时考虑复合材料非线性和氧化损伤的有限元分析模型。
技术指标：计算精度不低于10%。
研究周期：两年。
本项目采取线下对接报名方式，报名联系人：董宁，联系电话：18602908521。",,all
重点实验室基金-61420030401-装备故障物理、失效分析与运行可靠性评估,http://www.weain.mil.cn/cgxq/yy/yjjsl/594921.html,2018-11-16,2018-11-30,328,,"提出装备故障物理机理分析方法、退化失效分析方法、运行可靠性评估方法以及维修和库存策略方法，并针对典型装备开展案例研究与验证。本项目采取线下对接报名方式，报名联系人:周燕辉,联系电话:0731-87005507。",,all
